filename,category,media_type,source_path,thumbnail_path,capture_date,dominant_hex,dominant_weight,dominant_hue,color1_hex,color1_weight,color2_hex,color2_weight,color3_hex,color3_weight,color4_hex,color4_weight,color5_hex,color5_weight,color6_hex,color6_weight
F9E310C5-F67E-4F7F-B662-5EB1D44AF6BC.JPG,water,photo,media/water/F9E310C5-F67E-4F7F-B662-5EB1D44AF6BC.JPG,thumbnails/F9E310C5-F67E-4F7F-B662-5EB1D44AF6BC.jpg,2026:08:24 11:53:36,#c3cfe3,0.185,217.5,#696963,0.199,#9faabb,0.199,#c3cfe3,0.185,#7f8894,0.14,#454c4f,0.139,#172734,0.138
IMG_3406.PNG,water,photo,media/water/IMG_3406.PNG,thumbnails/IMG_3406.jpg,2026:08:24 11:53:39,#4a87d3,0.311,213.3,#4a87d3,0.311,#81add5,0.2,#0d1c1a,0.158,#677f93,0.145,#29485f,0.12,#cbc6c2,0.065
831E2173-1CFB-47F4-9B56-F1FE12B5832F.JPG,forest,photo,media/forest/831E2173-1CFB-47F4-9B56-F1FE12B5832F.JPG,thumbnails/831E2173-1CFB-47F4-9B56-F1FE12B5832F.jpg,2026:08:24 12:30:24,#b09882,0.308,28.7,#b09882,0.308,#242815,0.231,#403d2a,0.191,#706556,0.119,#e5a672,0.076,#b9b4ab,0.075
99C96967-B74E-43C1-9293-4B479CBD3742.JPG,forest,photo,media/forest/99C96967-B74E-43C1-9293-4B479CBD3742.JPG,thumbnails/99C96967-B74E-43C1-9293-4B479CBD3742.jpg,2026:08:24 12:30:38,#656e4b,0.252,75.4,#454d31,0.254,#656e4b,0.252,#858f6a,0.2,#24291a,0.18,#a8b09f,0.079,#ebebee,0.036
A6A39803-92B1-4731-9B2A-E11B254317E8.JPG,forest,photo,media/forest/A6A39803-92B1-4731-9B2A-E11B254317E8.JPG,thumbnails/A6A39803-92B1-4731-9B2A-E11B254317E8.jpg,2026:08:24 12:30:39,#4b77d9,0.236,221.4,#4b77d9,0.236,#806248,0.173,#1f1b10,0.169,#4b4334,0.158,#b67b5b,0.136,#857b8e,0.129
"Auroville, India.JPG",forest,photo,"media/forest/Auroville, India.JPG","thumbnails/Auroville, India.jpg",2026:08:24 12:30:36,#2d2b22,0.3,49.1,#2d2b22,0.3,#10100a,0.29,#4a483c,0.172,#716e62,0.115,#a09c90,0.083,#cbc9c5,0.039
B423FDEE-5329-49AC-B5B5-0AC37F7D896F.MP4,forest,video,media/forest/B423FDEE-5329-49AC-B5B5-0AC37F7D896F.MP4,thumbnails/B423FDEE-5329-49AC-B5B5-0AC37F7D896F.jpg,2026:08:24 12:30:33,#2e4120,0.237,94.5,#2e4120,0.237,#131f0d,0.222,#4d653d,0.188,#6e895d,0.162,#88a39e,0.102,#accdea,0.088
B4EC70FC-458E-46FB-98BD-0E1BE812A6CE.JPG,forest,photo,media/forest/B4EC70FC-458E-46FB-98BD-0E1BE812A6CE.JPG,thumbnails/B4EC70FC-458E-46FB-98BD-0E1BE812A6CE.jpg,2026:08:24 12:30:38,#202111,0.343,63.8,#202111,0.343,#101208,0.294,#30321b,0.224,#434729,0.101,#606542,0.033,#ada9a8,0.005
"Boston, MA.JPG",forest,photo,"media/forest/Boston, MA.JPG","thumbnails/Boston, MA.jpg",2026:08:24 12:30:39,#ab8752,0.143,35.7,#504d42,0.351,#766a4f,0.24,#322f19,0.15,#ab8752,0.143,#868b8b,0.08,#b6c4d3,0.037
C0E3371B-5656-47AC-8E12-622CE5949730.MP4,forest,video,media/forest/C0E3371B-5656-47AC-8E12-622CE5949730.MP4,thumbnails/C0E3371B-5656-47AC-8E12-622CE5949730.jpg,2026:08:24 12:30:28,#50503b,0.263,60.0,#50503b,0.263,#6d6b58,0.233,#918474,0.174,#302822,0.154,#ada89d,0.115,#e3dfdb,0.061
C7E64DC9-B7EA-42F7-92BC-155392950E41.JPG,forest,photo,media/forest/C7E64DC9-B7EA-42F7-92BC-155392950E41.JPG,thumbnails/C7E64DC9-B7EA-42F7-92BC-155392950E41.jpg,2026:08:24 12:30:23,#97a1ab,0.257,210.0,#161d0d,0.28,#8d9194,0.275,#97a1ab,0.257,#797c7c,0.116,#c09886,0.038,#464a44,0.034
CFC9C3E9-EAB0-4175-B136-D5EB59D08FAF.MP4,forest,video,media/forest/CFC9C3E9-EAB0-4175-B136-D5EB59D08FAF.MP4,thumbnails/CFC9C3E9-EAB0-4175-B136-D5EB59D08FAF.jpg,2026:08:24 12:30:38,#837638,0.207,49.6,#333516,0.272,#595629,0.267,#837638,0.207,#b69852,0.117,#9fbbe3,0.07,#7e8888,0.067
"Dharamkot, India.JPG",forest,photo,"media/forest/Dharamkot, India.JPG","thumbnails/Dharamkot, India.jpg",2026:08:24 12:30:21,#56604a,0.202,87.3,#394335,0.271,#1a2325,0.252,#56604a,0.202,#7d796b,0.124,#f1f2f3,0.086,#a59f99,0.064
EEB6BCDA-26D1-4547-9A4E-CE5DA4EACEB1.JPG,forest,photo,media/forest/EEB6BCDA-26D1-4547-9A4E-CE5DA4EACEB1.JPG,thumbnails/EEB6BCDA-26D1-4547-9A4E-CE5DA4EACEB1.jpg,2026:08:24 12:30:38,#3f3720,0.185,44.5,#0b0a05,0.314,#232012,0.293,#3f3720,0.185,#5a523f,0.101,#817867,0.069,#b9ab90,0.038
F6C3F480-62B7-4A3B-8981-B32B2E05C972.JPG,forest,photo,media/forest/F6C3F480-62B7-4A3B-8981-B32B2E05C972.JPG,thumbnails/F6C3F480-62B7-4A3B-8981-B32B2E05C972.jpg,2026:08:24 12:30:34,#597cd7,0.148,223.3,#0b0c09,0.317,#22231c,0.216,#4b3a34,0.164,#597cd7,0.148,#83a1eb,0.078,#72564f,0.076
IMG-20161210-WA0011.jpg,forest,photo,media/forest/IMG-20161210-WA0011.jpg,thumbnails/IMG-20161210-WA0011.jpg,2026:08:24 12:30:17,#8c6639,0.071,32.5,#060306,0.627,#342923,0.141,#b59d7f,0.074,#8c6639,0.071,#56596b,0.047,#e2d8d4,0.039
IMG-20170508-WA0024.jpg,forest,photo,media/forest/IMG-20170508-WA0024.jpg,thumbnails/IMG-20170508-WA0024.jpg,2026:08:24 12:30:17,#957655,0.108,30.9,#07060b,0.522,#2b272e,0.187,#957655,0.108,#425473,0.072,#614a3c,0.071,#d6a766,0.04
IMG-20180704-WA0008.jpg,forest,photo,media/forest/IMG-20180704-WA0008.jpg,thumbnails/IMG-20180704-WA0008.jpg,2026:08:24 12:30:18,#0f0f0f,0.204,0.0,#0f0f0f,0.204,#313131,0.193,#515151,0.177,#727272,0.162,#c2c2c2,0.138,#979797,0.126
IMG-20180718-WA0009.jpg,forest,photo,media/forest/IMG-20180718-WA0009.jpg,thumbnails/IMG-20180718-WA0009.jpg,2026:08:24 12:30:18,#060609,0.732,240.0,#060609,0.732,#191b1f,0.089,#353739,0.056,#6f7676,0.051,#535656,0.047,#91897e,0.025
IMG_20180927_071345.jpg,forest,photo,media/forest/IMG_20180927_071345.jpg,thumbnails/IMG_20180927_071345.jpg,2018:09:27 07:13:46,#2d3633,0.294,160.0,#2d3633,0.294,#474d47,0.21,#6a6763,0.147,#191d1d,0.13,#b5b8c2,0.127,#918b89,0.093
IMG_3642.HEIC,forest,photo,media/forest/IMG_3642.HEIC,thumbnails/IMG_3642.jpg,2023:03:21 09:02:11,#5f6548,0.214,72.4,#404530,0.283,#242919,0.23,#5f6548,0.214,#878a67,0.141,#babc8c,0.098,#cfe1e3,0.034
IMG_7793.PNG,forest,photo,media/forest/IMG_7793.PNG,thumbnails/IMG_7793.jpg,2026:08:24 15:13:15,#364222,0.293,82.5,#364222,0.293,#1e2b15,0.246,#545e3c,0.154,#98acc8,0.122,#d6e0eb,0.114,#778475,0.071
"Jamaica Pond, MA.JPG",forest,photo,"media/forest/Jamaica Pond, MA.JPG","thumbnails/Jamaica Pond, MA.jpg",2026:08:24 12:30:39,#9ec1ec,0.166,213.1,#35443e,0.203,#91a2ad,0.187,#142017,0.184,#9ec1ec,0.166,#cdd5dd,0.151,#637376,0.109
